timestamp,connect,service,status
1431583964,1,2,200
1431583967,1,2,200
1431583977,0,1,200
1431583977,1,2,200
1431583978,1,2,200
1431583989,1,2,200
1431584000,1,2,200
1431584005,1,4,200
1431584011,2,2,200
1431584022,1,2,200
1431584023,1,3,200
1431584033,1,2,200
1431584044,3,2,200
1431584045,8,3,200
1431584055,2,2,200
1431584056,9,4,200
1431584066,1,2,200
1431584072,0,4,200
1431584076,1,6,200
1431584077,1,2,200
1431584088,1,2,200
1431584099,1,2,200
1431584100,1,3,200
1431584102,1,2,200
1431584107,2,6,200
1431584110,1,2,200
1431584115,1,3,200
1431584121,1,2,200
1431584126,1,3,200
1431584132,1,2,200
1431584141,2,9,200
1431584143,1,2,200
1431584151,1,2,200
1431584152,1,3,200
1431584154,1,2,200
1431584158,0,2,200
1431584160,1,1,200
1431584160,18,10,200
1431584165,2,2,200
1431584169,2,3,200
1431584176,1,2,200
1431584177,1,3,200
1431584186,1,9,200
1431584188,2,2,200
1431584199,1,2,200
1431584210,2,3,200
1431584210,0,8,200
1431584214,1,2,200
1431584221,9,4,200
1431584222,0,1,200
1431584232,5,6,200
1431584243,1,2,200
1431584254,1,3,200
1431584265,3,6,200
1431584276,3,1,200
1431584283,0,2,200
1431584287,0,2,200
1431584291,1,3,200
1431584298,0,2,200
1431584309,0,8,200
1431584320,1,2,200
1431584330,5,2,200
1431584331,0,1,200
1431584336,1,2,200
1431584336,1,1,200
1431584342,5,4,200
1431584353,1,2,200
1431584364,0,3,200
1431584375,0,4,200
1431584386,0,1,200
1431584388,3,2,200
1431584397,1,1,200
1431584402,6,2,200
1431584408,0,1,200
1431584419,3,4,200
1431584423,0,1,200
1431584430,1,3,200
1431584441,0,1,200
1431584443,0,1,200
1431584452,0,2,200
1431584455,1,2,200
1431584463,1,3,200
1431584474,0,3,200
1431584476,1,2,200
1431584486,1,1,200
1431584497,0,1,200
1431584506,6,2,200
1431584508,0,1,200
1431584509,1,6,200
1431584519,0,1,200
1431584523,2,3,200
1431584526,2,2,200
1431584528,1,1,200
1431584530,0,1,200
1431584538,1,1,200
1431584541,1,3,200
1431584542,0,3,200
1431584552,1,5,200
1431584563,4,2,200
1431584574,1,2,200
1431584585,1,2,200
1431584596,1,2,200
1431584606,2,5,200
1431584607,2,2,200
1431584618,8,9,200
1431584629,1,3,200
1431584640,1,3,200
1431584646,1,12,200
1431584651,5,3,200
1431584655,0,1,200
1431584662,1,2,200
1431584673,1,3,200
1431584681,0,9,200
1431584684,1,2,200
1431584686,3,7,200
1431584695,1,3,200
1431584702,1,4,200
1431584706,2,3,200
1431584717,1,3,200
1431584726,0,27,200
1431584726,0,7,200
1431584728,1,4,200
1431584734,1,5,200
1431584739,1,23,200
1431584739,0,5,200
1431584739,1,9,200
1431584750,1,2,200
1431584754,0,16,200
1431584760,3,2,200
1431584761,1,3,200
1431584772,1,4,200
1431584783,1,2,200
1431584794,1,5,200
1431584798,0,18,200
1431584805,1,3,200
1431584814,1,9,200
1431584816,1,2,200
1431584818,1,14,200
1431584823,1,4,200
1431584827,1,2,200
1431584832,1,5,200
1431584839,1,2,200
1431584846,1,2,200
1431584850,1,3,200
1431584850,1,3,200
1431584855,1,2,200
1431584861,1,8,200
1431584861,1,2,200
1431584866,1,1,200
1431584872,1,5,200
1431584883,1,2,200
1431584888,1,3,200
1431584891,1,2,200
1431584894,1,11,200
1431584905,2,3,200
1431584907,4,6,200
1431584908,1,2,200
1431584916,1,11,200
1431584924,4,2,200
1431584926,2,2,200
1431584927,1,2,200
1431584938,1,5,200
1431584942,1,10,200
1431584949,1,2,200
1431584960,1,2,200
1431584966,1,3,200
1431584971,1,2,200
1431584973,1,12,200
1431584982,1,3,200
1431584989,1,2,200
1431584989,1,3,200
1431584993,1,5,200
1431584999,0,4,200
1431585002,1,2,200
1431585004,1,2,200
